a'ngunc	ອະຫງຸ່ນ
Mbukc^ki	ບຸກ^ຄີ
Mbukc^ki^yaa	ບຸກ^ຄີ^ຢາ
Ndaa^li^atc	ດາ^ລິ^ອັດ
Nde^li^laa	ເດ^ລິ^ລາ
Nde^metv^li^atc	ເດ^ເມັດ^ລິ^ອັດ
Ndi^le^an	ດິ^ເລ^ອັນ
Ndi^o^ni^si^atc	ດີ^ໂອ^ນິ^ສິ^ອັດ
Ndikc^laa	ດິກ^ລາ
Ndo^ndaa^waa^hu	ໂດ^ດາ^ວາ^ຫຸ
Ndo^faa^kaa	ໂດ^ຟະ^ຂາ
E^hutv	ເອ^ຮູດ
E^li^fe^le^hu	ເອ^ລີ^ຟາ^ເລ^ຫຸ
E^li^utc	ເອ^ລີ^ອູດ
E^li^yaa^sipv	ເອ^ລີ^ຢາ^ຊີ້ບ
Elun	ເອ^ລູນ
E^mekv Kesitv	ເອ^ເມັກ^ເຄ^ຊີດ
E^baa^fo^ndi^tatv	ເອ^ປາ^ໂຟ^ດິ^ທັດ
E^bi^ku^lien	ເອ^ປິ^ຄູ^ລຽນ
E^saa^laa	ເອ^ສະ^ລາ
E^saa^li	ເອ^ສະ^ລີ
E^wi	ເອ^ວີ
Em^maa^utc	ເອມ^ມາ^ອູດ
En^Mbelitv	ເອນ^ເບ^ລີດ
Faa^le^gon	ຟະ^ເລ^ໂກນ
Faa^li^si	ຟາ^ລິ^ສີ
Felikv	ເຟ^ລິກ
Fe^saa^tatv	ເຟ^ສະ^ທັດ
Fi^li^saa^die	ຟິ^ລິ^ສະ^ເຕຍ
Fi^nikv	ຟິ^ນິກ
Haa^e^lepv	ຫະ^ເອ^ເລບ
Haa^hi^lotv	ຫະ^ຫິ^ໂລດ
Haa^kaa^li^yaa	ຮາ^ຄາ^ລິ^ຢາ
Haa^lu^mapv	ຮາ^ລຸ^ມັບ
Haalum	ຮາ^ລູມ
Haalupv	ຮາ^ລູບ
Haa^mu^taan	ຮາ^ມຸ^ທານ
Haa^mun	ຮາ^ມູນ
Haanun	ຮາ^ນູນ
Haa^saa^bi^yaa	ຮາ^ຊາ^ປິ^ຢາ
Haa^saax^ndi^yaa	ຮາ^ສາ^ດິ^ຢາ
Haase Hatv^ti^kon	ຮາ^ເຊ^ຮັດ^ທິ^ໂຄນ
Haasum	ຮາ^ຊູມ
Haa^ti^faa	ຮາ^ທິ^ຟາ
Haa^ti^taa	ຮາ^ທິ^ທາ
Haa^wi^laa	ຮາ^ວິ^ລາ
Haa^yaa^ni^yaa	ຫະ^ຢາ^ນິ^ຢາ
Hakv^gitc	ຮັກ^ກີດ
Han^hun	ຮັນ^ຮູນ
Hatc^supv	ຫັດ^ຊູບ
He^li^o^mbu^li	ເຮ^ລີ^ໂອ^ບຸ^ລີ
He^lo^ndi^on	ເຮ^ໂລ^ດິ^ໂອນ
Hi^e^laa^mbu^li	ຮີ^ເອ^ລາ^ບຸ^ລີ
Ho^ndaa^wi^yaa	ໂຮ^ດາ^ວິ^ຢາ
Ho Hakv^gitc^gaatc	ໂຮ^ຮັກ^ກີດ^ກາດ
Hotv	ໂຮດ
Hufaam	ຫຸ^ຟາມ
Hugorkc	ຫຸ^ກອກ
Hu^laa^maa^mbi	ຫຸ^ລາ^ມາ^ບີ
Hulaam	ຫຸ^ລາມ
Hulai	ຫຸ^ໄລ
Huli	ຫ^ລີ
Husaa	ຫຸ^ຊາ
Husaam	ຫຸ^ຊາມ
Husai	ຫຸ^ໄຊ
Husim	ຫຸ^ຊິມ
Husopc	ຫຸ^ໂສບ
Hukc^gorkc	ຫຸກ^ກອກ
Hun	ຮູນ
I^ndaa^laa	ອິ^ດາ^ລາ
I^ndu^me^aa	ອິ^ດູ^ເມ^ອາ
Igaan	ອິ^ການ
I^ko^ni^yum	ອີ^ໂຄ^ນີ^ຢູມ
Ilaa	ອິ^ລະ
I^laa^aa	ອິ^ລາ^ອາ
Ilaa Naahaatc	ອິ^ລະ^ນາ^ຫາດ
Ilaam	ອິ^ລາມ
Ilaatv	ອິ^ລາດ
Ilai	ອິ^ໄລ
Ili	ອິ^ລີ
I^li^yaa	ອິ^ລີ^ຢາ
Ilu	ອິ^ລູ
In^li^kum	ອິນ^ລິ^ຄຸມ
I^opc	ອິ^ໂອບ
I^saa^kaa^li^otc	ອິ^ສະ^ຄາ^ລິ^ໂອດ
I^saa^laa	ອິ^ສະ^ລາ
I^saa^laa^en	ອິ^ສະ^ລາ^ເອນ
I^saa^laa^hi^yaa	ອິ^ສະ^ລາ^ຫິ^ຢາ
